Mass,C,H,O,N,S,P,NeutralMass,Error_ppm,MolecularFormula,El_comp,Class,OC,HC,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Sample1,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample2,Sample20,Sample21,Sample22,Sample23,Sample24,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9
187.0974915,9.0,16.0,4.0,0.0,0.0,0.0,,0,C9H16O4,CHO,Protein,0.4444444444444444,1.7777777777777777,-0.8888888888888893,85.63333333333334,2.0,-2.0,-0.4,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012938.4,928339.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199.0070207,8.0,8.0,4.0,0.0,1.0,0.0,,0,C8H8O4S,CHOS,Lignin,0.5,1.0,0.25,53.175,5.0,,0.0,0.4,0.0,0.0,1261244.9,1501417.4,930582.1,1067061.4,0.0,0.0,0.0,1252319.3,0.0,0.0,0.0,1073393.4,908913.4,0.0,0.0,0.0,0.0,966051.1,0.0,0.0,0.0,0.0,0.0
201.0768158,9.0,14.0,5.0,0.0,0.0,0.0,,0,C9H14O5,CHO,Amino sugar,0.5555555555555556,1.5555555555555556,-0.44444444444444464,72.96666666666667,3.0,-2.0,-0.5,0.07692307692307693,-2.0,0.0,0.0,1047695.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892402.8,0.0,0.0,0.0,975820.6,0.0,0.0,0.0,0.0,0.0,979207.1
201.1132251,10.0,18.0,4.0,0.0,0.0,0.0,,0,C10H18O4,CHO,Protein,0.4,1.8,-1.0,88.8,2.0,-2.0,-0.3333333333333333,0.0,-2.0,0.0,0.0,938781.6,0.0,0.0,0.0,0.0,996393.3,0.0,0.0,0.0,0.0,885397.8,1054560.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205.014339,10.0,6.0,5.0,0.0,0.0,0.0,,0,C10H6O5,CHO,Cond. HC,0.5,0.6,0.3999999999999999,48.9,8.0,3.0,0.6,0.7333333333333333,3.0,0.0,0.0,0.0,1202068.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1774188.6,0.0,0.0,1075488.9,0.0,0.0,0.0,0.0,0.0,0.0
205.0506919,11.0,10.0,4.0,0.0,0.0,0.0,,0,C11H10O4,CHO,Lignin,0.36363636363636365,0.9090909090909091,-0.18181818181818166,65.48181818181817,7.0,3.0,0.42857142857142855,0.5555555555555556,3.0,0.0,0.0,0.0,0.0,1061230.9,0.0,0.0,0.0,0.0,0.0,0.0,931678.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207.0121301,10.0,8.0,3.0,0.0,1.0,0.0,,0,C10H8O3S,CHOS,Cond. HC,0.3,0.8,0.0,60.3,7.0,4.0,0.5,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895981.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1711334.0
209.0091605,9.0,6.0,6.0,0.0,0.0,0.0,,0,C9H6O6,CHO,Cond. HC,0.6666666666666666,0.6666666666666666,0.6666666666666665,41.3,7.0,,0.3333333333333333,0.6666666666666666,,0.0,0.0,3497206.3,3229672.3,1618657.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022506.4,0.0,2898412.5,0.0,984256.8,0.0,0.0,0.0,0.0,0.0,0.0
209.0819317,11.0,14.0,4.0,0.0,0.0,0.0,,0,C11H14O4,CHO,Lignin,0.36363636363636365,1.2727272727272727,-0.5454545454545459,75.84545454545456,5.0,,0.14285714285714285,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085309.9,1108867.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209.1546994,13.0,22.0,2.0,0.0,0.0,0.0,,0,C13H22O2,CHO,Lipid,0.15384615384615385,1.6923076923076923,-1.384615384615385,99.76153846153846,3.0,,0.09090909090909091,0.16666666666666666,,0.0,1323948.8,1035688.8,0.0,1103763.4,0.0,0.0,997652.1,1447640.0,0.0,0.0,0.0,1280535.4,1197596.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171418.9
